Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-11 09:00:00+11:00,2024-03-15 17:00:00+11:00,2024-03-06 10:00:00+11:00
Time Tracking Consulting Core - Learn Virtual,Open,Yes,2024-03-11 15:00:00+11:00,2024-03-16 00:00:00+11:00,2024-03-06 16:00:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-03-11 15:00:00+11:00,2024-03-14 23:00:00+11:00,2024-03-06 16:00:00+11:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-03-11 15:00:00+11:00,2024-03-16 00:00:00+11:00,2024-03-06 16:00:00+11:00
Calculated Fields - Learn Virtual,Open,Yes,2024-03-11 15:00:00+11:00,2024-03-12 20:00:00+11:00,2024-03-06 16:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-11 19:30:00+11:00,2024-03-15 04:30:00+11:00,2024-03-06 20:30:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-11 20:00:00+11:00,2024-03-16 02:00:00+11:00,2024-03-06 21:00:00+11:00
Time Tracking Consulting Core - Learn Virtual,Open,Yes,2024-03-12 04:30:00+11:00,2024-03-16 13:30:00+11:00,2024-03-07 05:30:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-12 05:00:00+11:00,2024-03-16 11:00:00+11:00,2024-03-07 06:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-12 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-07 08:00:00+11:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-03-12 07:00:00+11:00,2024-03-13 12:00:00+11:00,2024-03-07 08:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-12 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-07 08:00:00+11:00
Absence and Leave Consulting Core - Learn Virtual,Open,Yes,2024-03-12 14:30:00+11:00,2024-03-16 23:30:00+11:00,2024-03-07 16:30:00+11:00
Talent Optimization Consulting Core - Learn Virtual,Open,Yes,2024-03-12 14:30:00+11:00,2024-03-16 23:30:00+11:00,2024-03-07 16:30:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-12 14:30:00+11:00,2024-03-15 23:30:00+11:00,2024-03-07 16:30:00+11:00
Student Services Practical - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-07 17:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-15 23:00:00+11:00,2024-03-07 17:00:00+11:00
Advanced Composite Reporting - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-13 20:00:00+11:00,2024-03-07 17:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-07 17:00:00+11:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-14 20:00:00+11:00,2024-03-07 17:00:00+11:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-16 21:00:00+11:00,2024-03-07 17:00:00+11:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-03-12 15:00:00+11:00,2024-03-15 20:00:00+11:00,2024-03-07 17:00:00+11:00
Payroll Services Practical - Learn Virtual,Open,Yes,2024-03-12 17:00:00+11:00,2024-03-17 01:00:00+11:00,2024-03-07 19:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-12 17:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-07 19:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-12 17:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-07 19:00:00+11:00
Accounting Center Consulting Core - Learn Virtual,Open,Yes,2024-03-12 17:00:00+11:00,2024-03-15 23:00:00+11:00,2024-03-07 19:00:00+11:00
Financial Consolidations - Learn Virtual,Open,Yes,2024-03-12 17:00:00+11:00,2024-03-13 23:00:00+11:00,2024-03-07 19:00:00+11:00
Student Financial Aid Consulting Core - Learn Virtual,Open,Yes,2024-03-12 19:00:00+11:00,2024-03-17 03:00:00+11:00,2024-03-07 21:00:00+11:00
Student Financial Aid Fundamentals - Learn Virtual,Open,Yes,2024-03-12 19:00:00+11:00,2024-03-16 03:00:00+11:00,2024-03-07 21:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-03-12 21:00:00+11:00,2024-03-15 02:00:00+11:00,2024-03-07 23:00:00+11:00
Integration Security - Learn Virtual,Open,Yes,2024-03-12 21:00:00+11:00,2024-03-14 02:00:00+11:00,2024-03-07 23:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-12 10:00:00+11:00,2024-03-15 19:00:00+11:00,2024-03-07 11:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-12 13:00:00+11:00,2024-03-15 21:00:00+11:00,2024-03-07 14:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-12 13:00:00+11:00,2024-03-15 21:00:00+11:00,2024-03-07 14:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-12 19:30:00+11:00,2024-03-16 04:30:00+11:00,2024-03-07 20:30:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-13 05:00:00+11:00,2024-03-16 13:00:00+11:00,2024-03-08 06:00:00+11:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-03-13 05:00:00+11:00,2024-03-16 13:00:00+11:00,2024-03-08 06:00:00+11:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-13 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-08 08:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-03-13 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-08 08:00:00+11:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-03-13 07:00:00+11:00,2024-03-15 12:00:00+11:00,2024-03-08 08:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-13 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-08 08:00:00+11:00
Financial Fundamentals - Learn In-Person,Open,Yes,2024-03-13 07:00:00+11:00,2024-03-16 15:00:00+11:00,2024-03-08 08:00:00+11:00
Student Fundamentals - Learn Virtual,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-08 17:00:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-08 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-08 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-16 23:00:00+11:00,2024-03-08 17:00:00+11:00
HCM Recertification Exam,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-13 21:00:00+11:00,2024-03-08 17:00:00+11:00
